,Region,Year,Forest Area,GCB,HDI,HER,PIA,LE Score,Reporting Score,Agri %land area,GDP per capita,Protected areas %land,estimate
47,Southern Africa,2018,33.538785332314745,0.66625,0.592125,0.4588888888888889,0.46666666666666673,1.9033613445378152,1.6073487895519336,49.43936725068286,3571.4701599618847,21.133140766712398,0.471983414
48,West Africa,2003,24.753131313131316,0.5960122655122654,0.44965310245310247,0.4556194083694084,0.44157575757575757,2.4285714285714284,0.902295129072497,48.151839015788845,426.4644309273451,13.431623757751062,0.213393575
49,West Africa,2004,26.07891203703704,0.58967791005291,0.4583843915343915,0.46717493386243386,0.44769444444444456,2.375,1.1279644874868,49.78294526675719,476.25100895648205,12.998003403335645,0.34898604200000005
50,West Africa,2005,26.09090909090909,0.5960122655122656,0.44965310245310247,0.45561940836940845,0.44157575757575757,2.2857142857142856,0.9626678570871701,48.71154766413989,521.1814772833641,13.43162375775106,0.271060003
51,West Africa,2006,26.078912037037043,0.58967791005291,0.4164166666666667,0.4294791666666667,0.4476944444444444,2.125,1.0442689021377423,50.241215883397686,638.3362723287701,12.998003403335645,0.0
52,West Africa,2007,26.078912037037043,0.5896779100529099,0.4583843915343915,0.46717493386243386,0.44769444444444445,2.125,0.9809312380867413,50.351536773620104,745.4930703121365,12.998003403335645,0.8573164240000001
53,West Africa,2008,24.753131313131316,0.5960122655122654,0.44965310245310247,0.4556194083694084,0.44157575757575757,2.0,0.9158334283832197,49.84497643895136,836.8866251221921,13.431623757751062,0.83319628
54,West Africa,2009,26.07891203703704,0.58967791005291,0.4391666666666667,0.43041666666666667,0.4476944444444444,2.125,1.1524169203230445,51.137693623198274,797.9607231924102,12.998003403335645,0.79495235
55,West Africa,2010,25.00909090909091,0.6030112433862435,0.44965310245310247,0.45561940836940845,0.44157575757575745,2.0,1.1087033155819064,50.27241106681319,828.2927024903792,13.43162375775106,0.160994898
56,West Africa,2011,23.608333333333334,0.5886362433862433,0.4546125661375662,0.4514011243386244,0.435611111111111,2.0,1.089908887553032,52.50018512684629,1050.870070327846,13.291553575659414,0.8196348379999999
57,West Africa,2012,24.408333333333335,0.5483703703703703,0.44725,0.45333333333333337,0.4484444444444444,2.1964285714285716,0.859714420399606,50.30861632968488,936.4831081280705,13.550488106748597,0.892632662
58,West Africa,2013,23.685714285714283,0.6455067460317461,0.43837029478458056,0.4689390589569161,0.45923809523809517,2.1964285714285716,0.8597144203996061,49.71021870422012,1009.9817892533061,13.740671065144662,0.6611576220000001
59,West Africa,2014,24.572727272727274,0.5960122655122656,0.44965310245310247,0.4556194083694084,0.44157575757575757,2.1964285714285716,0.8597144203996061,50.83822630835144,1082.9752560594575,13.431623757751057,0.895286323
60,West Africa,2015,28.914814814814818,0.6079310344827585,0.4721111111111111,0.4985185185185185,0.4507407407407407,2.125,0.35505109872183577,42.827078260389975,891.6983301834299,14.539869727242515,0.917755841
61,West Africa,2016,24.372727272727275,0.5960122655122656,0.44965310245310247,0.45561940836940845,0.44157575757575745,2.1964285714285716,0.8597144203996061,50.83822630835144,924.7825303224231,13.520816260336916,0.917824704
62,West Africa,2017,24.753131313131313,0.5960122655122656,0.44965310245310247,0.45561940836940845,0.44157575757575745,2.1964285714285716,0.8597144203996061,44.06305609551827,954.4067604318801,13.387027506458134,0.7528924909999999
63,West Africa,2018,24.753131313131313,0.6154545454545456,0.4803636363636363,0.4936363636363636,0.4327272727272728,2.1964285714285716,0.8597144203996061,44.06305609551827,1019.1578882155272,13.387027506458132,0.464322247
